Address,list_price,beds,baths,sq_ft,latitude,longitude
"1926 S Wabash Ave Unit 4 Chicago, IL 60616",499000.0,3.0,2.0,1875.0,41.855725,-87.62597129999999
"7411 W 114th St Worth, IL 60482",345000.0,4.0,2.5,1874.0,41.6840556,-87.8026522
"1737 N Paulina St Apt 301 Chicago, IL 60622",590000.0,2.0,2.0,1859.0,41.9136452,-87.6700182
"2142 W Jackson Blvd # 2 Chicago, IL 60612",260000.0,3.0,2.5,1850.0,41.8777956,-87.68066859999999
"1300 W Altgeld St # P14 Chicago, IL 60614",100000.0,2.0,2.5,1850.0,41.9278616,-87.6609908
"4359 N Campbell Ave Chicago, IL 60618",459000.0,2.0,2.5,1850.0,41.9611123,-87.6915921
"1621 W Rascher Ave Apt 1 Chicago, IL 60640",418000.0,3.0,2.0,1850.0,41.9804628,-87.67062949999999
"3346 N Sheffield Ave Apt 4S Chicago, IL 60657",579000.0,2.0,2.0,1850.0,41.943128,-87.654566
"2867 W Palmer St Apt 2 Chicago, IL 60647",430000.0,2.0,2.0,1815.0,41.9213854,-87.6998097
"4545 W Touhy Ave # 709E Lincolnwood, IL 60712",430000.0,2.0,2.0,1810.0,42.010877,-87.741737
"4853 W Race Ave # 55 Chicago, IL 60644",3500.0,5.0,2.0,1804.0,41.890194,-87.747783
"2451 N Clybourn Ave Apt 11 Chicago, IL 60614",510000.0,3.0,3.0,1800.0,41.9265392,-87.67067779999999
"900 W Agatite Ave Apt 2 Chicago, IL 60640",362000.0,3.0,3.0,1800.0,41.9629716,-87.6525865
"1137 W Roscoe St # 1137 Chicago, IL 60657",480000.0,3.0,3.0,1800.0,41.942699,-87.6585659
"210 E Pearson St Apt 12C Chicago, IL 60611",537500.0,3.0,2.5,1800.0,41.89782539999999,-87.6212025
"909 W Diversey Pkwy Chicago, IL 60614",597000.0,3.0,2.5,1800.0,41.9323352,-87.6518317
"630 N State St Chicago, IL 60654",770000.0,3.0,2.5,1800.0,41.89374129999999,-87.62843389999999
"330 W Grand Ave # P18 Chicago, IL 60654",620000.0,3.0,2.5,1800.0,41.8917906,-87.636697
"1029 N Wolcott Ave # 3 Chicago, IL 60622",525000.0,2.0,2.5,1800.0,41.9004617,-87.6743904
"1020 W Armitage Ave Apt 3B Chicago, IL 60614",725000.0,2.0,2.5,1800.0,41.918218,-87.6542109
"147 N Rose St Palatine, IL 60067",323000.0,2.0,2.5,1800.0,42.1136643,-88.0520197
"1137 N Wood St Apt 1E Chicago, IL 60622",550000.0,2.0,2.5,1800.0,41.9026071,-87.6720581
"4452 S University Ave Apt 2 Chicago, IL 60653",275000.0,3.0,2.0,1800.0,41.8134378,-87.5983534
"4400 N Paulina St Apt 2A Chicago, IL 60640",405000.0,3.0,2.0,1800.0,41.9617717,-87.6712388
"4230 S King Dr Apt 3N Chicago, IL 60653",205000.0,3.0,2.0,1800.0,41.817454,-87.617458
"2230 N Kenmore Ave # 2 Chicago, IL 60614",490000.0,3.0,2.0,1800.0,41.9226597,-87.65508810000001
"2778 W Francis Pl # G2 Chicago, IL 60647",259000.0,3.0,2.0,1800.0,41.9183864,-87.69693079999999
